标题,区域,地段,小区,空间,面积,朝向,装修,楼层,建成时间,构筑物,单价每平,总价,关注,距今发布日期
富力城天禧 精装三房 中间楼层 视野开阔,沙坪坝,大学城,富力城天禧,3室2厅,92.05平米,北,精装,中楼层(共33层),2019年建,板塔结合,"13,200元/平",121.5,1人关注,4个月以前发布
金科廊桥天都精装三房  业主诚心出售  视野很不错,沙坪坝,大学城,金科廊桥天都,3室1厅,80.74平米,东南,精装,34层,2012年建,塔楼,"12,733元/平",102.8,26人关注,1个月以前发布
高新区大学城轻轨站旁业主自住装修两房出售,沙坪坝,大学城,富力城倾城里,2室2厅,90.75平米,东南,精装,高楼层(共31层),2014年建,板塔结合,"12,342元/平",112,5人关注,1个月以前发布
大学城精装三房，中间楼层，看中庭和大成湖公园,沙坪坝,大学城,富力城时光里,3室2厅,118平米,北,精装,中楼层(共33层),2013年建,板塔结合,"12,458元/平",147,14人关注,1个月以前发布
此房位于重庆融创文旅城 独门独院带花园，配套成熟,沙坪坝,西永,重庆融创万达文化旅游城长湖郡,4室2厅,93.16平米,南 北,毛坯,3层,板楼,联排别墅,"20,396元/平",190,17人关注,17天以前发布
大学城装修四房2卫，出售，看房方便，近轻轨,沙坪坝,大学城,富力城新壹站,4室1厅,107.42平米,东南,精装,高楼层(共34层),2018年建,塔楼,"12,940元/平",139,7人关注,7天以前发布
天骄年华 3房大户型 满2年 户型方正 朝中庭 配套齐全,沙坪坝,凤天路,天骄年华,3室2厅,118.43平米,东北,简装,18层,2002年建,板楼,"13,342元/平",158,2人关注,19天以前发布
龙湖花千树二期精装修两房业主急售,沙坪坝,大学城,龙湖花千树二期,2室1厅,85.51平米,东,精装,高楼层(共28层),2013年建,板楼,"14,034元/平",120,5人关注,28天以前发布
大学城两房，富力城翰湖大两房，诚心出售,沙坪坝,大学城,富力城瀚湖A区,2室2厅,84.17平米,西南,简装,高楼层(共31层),2009年建,板塔结合,"10,313元/平",86.8,6人关注,16天以前发布
金杜洋光正规两房 坐北朝南 通风效果好 钥匙在手方便,沙坪坝,双碑,金杜洋光,2室2厅,69.27平米,南,精装,中楼层(共20层),2007年建,板塔结合,"9,384元/平",65,2人关注,30天以前发布
精装一房 拎包入住 居家舒适 网红小区,沙坪坝,石桥铺,大城小爱,1室1厅,51.77平米,北,精装,34层,2010年建,塔楼,"14,101元/平",73,8人关注,16天以前发布
东和科苑 1室1厅 东南,沙坪坝,沙正街,东和科苑,1室1厅,50.28平米,东南,精装,中楼层(共32层),2007年建,塔楼,"13,724元/平",69,3人关注,4天以前发布
全新装修，带80平米大花园，带产权车位；随时看房；,沙坪坝,大学城,天骄名城二期,5室1厅,110.99平米,南,精装,低楼层(共32层),2014年建,板塔结合,"15,768元/平",175,10人关注,30天以前发布
文旅城御林精装二改三户型  中间楼层 自住装修,沙坪坝,西永,重庆融创万达文化旅游城御林,3室2厅,82.45平米,东南,精装,中楼层(共32层),2018年建,塔楼,"14,433元/平",119,35人关注,3个月以前发布
大学城金科清水三房，小高层中间楼层朝中庭位置安静,沙坪坝,大学城,金科廊桥水乡E区,3室2厅,106.33平米,东,毛坯,高楼层(共18层),2011年建,塔楼,"11,474元/平",122,32人关注,4个月以前发布
富力城天禧，清水3室，业主诚心出售。,沙坪坝,大学城,富力城天禧,3室2厅,98.41平米,南,毛坯,中楼层(共33层),2018年建,塔楼,"12,499元/平",123,8人关注,8个月以前发布
大学城全新精装三室86万 采光好配套好 业主诚心出售,沙坪坝,大学城,康田·夏歌园,3室2厅,91.61平米,南,其他,中楼层(共21层),,板塔结合,"9,388元/平",86,0人关注,15天以前发布
精装修三房，价格便宜，位置安静，业主诚心出售,沙坪坝,大学城,龙湖U城四组团,3室2厅,106.69平米,南,精装,中楼层(共11层),2012年建,板楼,"16,403元/平",175,24人关注,2个月以前发布
此房满两年，户型方正采光好，中间楼层方便出行，,沙坪坝,大学城,富力城地壹站,3室1厅,90.29平米,南,毛坯,中楼层(共24层),2017年建,塔楼,"12,737元/平",115,43人关注,6个月以前发布
大学城书香溪墅精装修跃层业主诚心出售,沙坪坝,大学城,书香溪墅,3室1厅,86.4平米,北,精装,高楼层(共8层),,板楼,"15,394元/平",133,6人关注,1个月以前发布
龙湖品质洋房，大横厅，坐北朝南，业主诚心卖！懂得来,沙坪坝,陈家桥,龙湖开元晶蓝I期,4室2厅,130.32平米,南,毛坯,高楼层(共8层),2018年建,板楼,"15,961元/平",208,50人关注,8个月以前发布
101平精装3房，视野采光好，业主急售,沙坪坝,大学城,金科廊桥天都,3室2厅,101平米,西北,精装,34层,2012年建,平房,"12,575元/平",127,2人关注,12天以前发布
精装修户型方正，彩光很好，小区绿化很好,沙坪坝,大学城,富力城天禧,3室2厅,101.82平米,北,精装,中楼层(共33层),2019年建,板塔结合,"12,081元/平",123,10人关注,3个月以前发布
正规一室一厅 出让地商品房 装修好 通透,沙坪坝,天星桥,时代YOHO,1室1厅,50.38平米,西南,精装,35层,2003年建,塔楼,"13,498元/平",68,1人关注,13天以前发布
业主诚心出售，朝中庭，住家安静，随时看房。,沙坪坝,石桥铺,南方新城北苑,2室1厅,67.38平米,南,精装,低楼层(共12层),2005年建,塔楼,"11,428元/平",77,6人关注,12天以前发布
住家装修，小两房，采光好 ，居家安静，可拎包入住,沙坪坝,磁器口,国盛三千城,2室1厅,58.18平米,西南,精装,高楼层(共33层),2016年建,塔楼,"13,407元/平",78,6人关注,10天以前发布
此房位于三峡广场商圈 沙正街 学林雅苑车站旁，,沙坪坝,沙正街,跨越新天地,2室1厅,68平米,南 北,简装,低楼层(共31层),2006年建,塔楼,"13,971元/平",95,1人关注,9天以前发布
金悦城 6室3厅 南,沙坪坝,烈士墓,金悦城,6室3厅,243.87平米,南,其他,低楼层(共31层),2010年建,塔楼,"9,842元/平",240,0人关注,6天以前发布
国盛园墅跃层洋房，精装修带一个子母车位基本没住过人,沙坪坝,陈家桥,国盛园墅南区,3室2厅,86.15平米,北,精装,低楼层(共11层),2017年建,板塔结合,"17,412元/平",150,9人关注,15天以前发布
正规两房  育英  采光好  出行方便,沙坪坝,沙正街,建筑巷,2室1厅,60.68平米,东南,简装,高楼层(共10层),1996年建,板塔结合,"8,900元/平",54,1人关注,9天以前发布
小户型单身公寓，适合刚出社会的年轻人过渡住房等客户,沙坪坝,大学城,启迪协信城立方,1室1厅,38平米,南,毛坯,中楼层(共20层),2017年建,塔楼,"6,711元/平",25.5,0人关注,6天以前发布
轻轨房带车位，视野开阔采光好，业主诚心出售。,沙坪坝,西永,熙地锦绣城,2室1厅,79.02平米,西,毛坯,高楼层(共26层),,塔楼,"12,656元/平",100,16人关注,10天以前发布
宝嘉小高层，正规3房双卫，住家装修,沙坪坝,大学城,宝嘉花与山,3室1厅,99平米,西,精装,高楼层(共18层),2013年建,板塔结合,"12,526元/平",124,17人关注,12天以前发布
标准简装大2两房，采光好，朝向好,沙坪坝,大学城,金科廊桥水乡E区,2室1厅,80.95平米,南 西北,精装,中楼层(共18层),2011年建,塔楼,"12,354元/平",100,1人关注,14天以前发布
文旅城 御林 品质小区 业主急售 随时可看房,沙坪坝,西永,重庆融创万达文化旅游城御林,2室1厅,77平米,东,毛坯,高楼层(共33层),2018年建,塔楼,"12,988元/平",100,18人关注,14天以前发布
金科品质清水经典两房，业主安心卖,沙坪坝,西永,金科天宸,2室1厅,72.2平米,北,毛坯,低楼层(共18层),2015年建,板楼,"13,574元/平",98,32人关注,4个月以前发布
清水价买装修，房子安静朝中庭，小区前排房源,沙坪坝,西永,隆鑫花漾汇,3室1厅,99.03平米,南,精装,中楼层(共11层),2014年建,塔楼,"10,502元/平",104,15人关注,3个月以前发布
户型方正 看房方便 小区楼龄较新 环境优越,沙坪坝,烈士墓,金悦城,3室2厅,95.74平米,南 北,精装,中楼层(共31层),2010年建,板楼,"13,579元/平",130,77人关注,一年前发布
硅谷翠庭正三房，带露台，业主诚心出售！,沙坪坝,西永,硅谷翠庭,3室1厅,138平米,南,毛坯,中楼层(共6层),2014年建,板楼,"9,783元/平",135,26人关注,1个月以前发布
精装三房双卫带衣帽间 户型方正 采光环境很好,沙坪坝,大学城,富力城幸福里C区,3室2厅,128.7平米,南,精装,低楼层(共27层),2009年建,塔楼,"9,713元/平",125,57人关注,8个月以前发布
金科天宸三街区精装三房，业主带车位诚心出售！！！,沙坪坝,西永,金科•天宸三街区,3室2厅,91.84平米,南,精装,高楼层(共30层),2017年建,塔楼,"15,244元/平",140,18人关注,5个月以前发布
龙湖精装三房，朝南位置安静，业主红本在手。,沙坪坝,大学城,龙湖U城听蓝时光,3室2厅,70.89平米,南,精装,低楼层(共31层),2016年建,板塔结合,"16,759元/平",118.8,13人关注,2个月以前发布
融汇A区正规三房朝中庭业主急售可带车位卖，拎包入住,沙坪坝,站西路,融汇国际温泉城,3室1厅,100.9平米,东南,简装,31层,2009年建,塔楼,"13,182元/平",133,18人关注,一年前发布
金科一室一厅 精装小户型   安心出售,沙坪坝,大学城,金科廊桥天都,1室1厅,50.81平米,南,精装,24层,2012年建,板塔结合,"10,825元/平",55,91人关注,一年前发布
户型方正，视野开阔，面朝小区，采光好，清水三室,沙坪坝,大学城,富力城书香里,3室1厅,88.04平米,南,毛坯,高楼层(共27层),2017年建,板楼,"11,700元/平",103,79人关注,2个月以前发布
金科天辰八街区，品质洋房，带产权车位,沙坪坝,西永,金科天宸八街区,4室1厅,120.06平米,南,精装,中楼层(共9层),2018年建,板楼,"18,308元/平",219.8,72人关注,8个月以前发布
精装富力城大两房，诚心出售，干净,沙坪坝,大学城,富力城倾城里,2室1厅,82.54平米,南,精装,低楼层(共31层),2014年建,板塔结合,"12,237元/平",101,27人关注,2个月以前发布
融创文旅城  温暖小户型   视野很好,沙坪坝,西永,重庆融创万达文化旅游城御林,2室1厅,70.19平米,北,毛坯,高楼层(共32层),2018年建,塔楼,"12,395元/平",87,37人关注,4个月以前发布
科学城富力城维多利亚D区，业主精装修，诚心出售,沙坪坝,大学城,维多利亚D区,5室2厅,173平米,南,精装,1层,2012年建,板塔结合,"19,943元/平",345,14人关注,8个月以前发布
协信城玺院 洋房顶跃 带花园！共三层,沙坪坝,大学城,协信城立方玺院,3室1厅,90.54平米,南,毛坯,高楼层(共7层),2018年建,板楼,"15,463元/平",140,95人关注,11个月以前发布
高新区，科学城，装修小三房，配套齐全，出行方便,沙坪坝,大学城,富力城幸福里C区,3室1厅,98.15平米,西南,精装,中楼层(共27层),2009年建,塔楼,"11,208元/平",110,5人关注,3个月以前发布
天星桥转盘旁 单价八千左右 电梯房出行便利 诚意出售,沙坪坝,天星桥,恒鑫花园,3室2厅,147.38平米,南 北,简装,中楼层(共25层),2002年建,板楼,"7,803元/平",115,4人关注,2个月以前发布
业主诚心卖，你敢还价我就敢去找业主谈价,沙坪坝,西永,重庆融创万达文化旅游城御林,3室2厅,78.1平米,北,毛坯,低楼层(共33层),2018年建,塔楼,"12,164元/平",95,55人关注,3个月以前发布
高新区科学城，近天街地铁，带露台，带车位，板式洋房,沙坪坝,西永,金科天宸八街区,3室2厅,120.5平米,南,毛坯,高楼层(共8层),,板楼,"17,262元/平",208,33人关注,3个月以前发布
富力城精装修，交通便利小区新，业主稳定诚心出售,沙坪坝,大学城,富力城新壹站,2室1厅,73.66平米,西,精装,低楼层(共34层),2019年建,塔楼,"14,662元/平",108,13人关注,1个月以前发布
花开香地两室一厅，业主诚心出售,沙坪坝,石桥铺,逸静花开香地,2室1厅,67.15平米,南,简装,高楼层(共30层),2012年建,塔楼,"13,850元/平",93,4人关注,4个月以前发布
公园旁 低密度 高品质 精装三房,沙坪坝,石桥铺,南方新城北苑,3室1厅,102.02平米,东南,精装,中楼层(共11层),2005年建,塔楼,"10,587元/平",108,27人关注,3个月以前发布
精装两房位置安静， 视野开阔， 业主诚心出售，,沙坪坝,大学城,宝嘉花与山,2室1厅,65.18平米,南,精装,高楼层(共18层),2013年建,塔楼,"12,581元/平",82,8人关注,3个月以前发布
777近轻轨小区，安静，看中庭，视野好,沙坪坝,西永,熙地锦绣城,3室2厅,98.69平米,南,精装,高楼层(共26层),2015年建,板塔结合,"12,666元/平",125,9人关注,3个月以前发布
清水三房，龙湖天街，出行方便，诚心出售,沙坪坝,西永,龙湖•好城时光,3室1厅,65.93平米,北,毛坯,32层,2015年建,塔楼,"16,382元/平",108,27人关注,3个月以前发布
蓝溪谷地清水大户型出售，好改动，楼下轻轨,沙坪坝,天星桥,蓝溪谷地,3室2厅,123.38平米,北,毛坯,高楼层(共33层),2006年建,塔楼,"10,942元/平",135,29人关注,2个月以前发布
国富沙磁巷 3室1厅 东南,沙坪坝,磁器口,国富沙磁巷,3室1厅,83.59平米,东南,毛坯,46层,2017年建,塔楼,"14,476元/平",121,42人关注,2个月以前发布
走过路过不要错过，龙湖物业，轻轨高新天街旁，视野好,沙坪坝,西永,龙湖•好城时光,3室2厅,92.07平米,东,毛坯,31层,2015年建,塔楼,"16,510元/平",152,57人关注,5个月以前发布
此房满2年 业主诚心，接受按揭，全款,沙坪坝,大学城,金科廊桥水乡E区,2室2厅,67.11平米,东南,毛坯,中楼层(共30层),2011年建,塔楼,"10,729元/平",72,1人关注,2个月以前发布
清水 一线看江 户型方正  业主诚心卖,沙坪坝,磁器口,国富沙磁巷,3室1厅,104.75平米,南,毛坯,30层,2017年建,塔楼,"16,802元/平",176,26人关注,3个月以前发布
龙湖精装三房，近地铁，朝南，业主诚心出售,沙坪坝,西永,龙湖•好城时光,3室2厅,67.32平米,东南,精装,34层,2015年建,塔楼,"18,569元/平",125,16人关注,7个月以前发布
石桥铺双轻轨，近公园，近万达，住家安静，出行方便,沙坪坝,石桥铺,南方新城北苑,2室2厅,109.98平米,东南,精装,中楼层(共11层),2005年建,塔楼,"9,820元/平",108,7人关注,6个月以前发布
精装+证在手+户型方正+配套齐全+拎包入住+采光好,沙坪坝,大学城,天骄名城一期,2室1厅,66.01平米,北,精装,低楼层(共33层),2013年建,塔楼,"10,575元/平",69.8,93人关注,3个月以前发布
西永 西永九号 精装 正三房 龙湖物业,沙坪坝,大学城,西永9号,3室2厅,90.09平米,东南,精装,低楼层(共30层),,塔楼,"12,211元/平",110,36人关注,3个月以前发布
大学城洋房，朝南清水三房，业主诚心出售,沙坪坝,大学城,书香溪墅,3室1厅,77.24平米,南,毛坯,中楼层(共8层),,板楼,"12,235元/平",94.5,26人关注,5个月以前发布
跃层洋房  全证在手 急售 实得大 看房方便,沙坪坝,大学城,协信城立方玺院,3室2厅,96.46平米,南,毛坯,中楼层(共7层),,板楼,"12,596元/平",121.5,43人关注,5个月以前发布
新北欧装修风格 基本没有住 有钥匙 方便看房,沙坪坝,梨树湾,融汇温泉城童话里,3室2厅,94.15平米,东南,精装,低楼层(共33层),2017年建,塔楼,"15,826元/平",149,24人关注,4个月以前发布
此房在师院里面 户型方正 坐拥双轻轨加高铁 出行方便,沙坪坝,渝碚路,五四村,2室1厅,63.4平米,东南,简装,中楼层(共6层),,暂无数据,"7,571元/平",48,26人关注,3个月以前发布
童话里 正规三室 精装修 住家清静 视野开阔,沙坪坝,梨树湾,融汇温泉城童话里,3室1厅,84.14平米,北,精装,33层,2014年建,塔楼,"15,451元/平",130,14人关注,1个月以前发布
融创滨江壹号一期 精装修套三 高楼层 正朝南,沙坪坝,双碑,融创滨江壹号一期,3室2厅,101.57平米,东南,精装,26层,2017年建,塔楼,"16,541元/平",168,86人关注,7个月以前发布
融汇温泉城童话里 正规3房朝向安静 业主急卖可以少,沙坪坝,梨树湾,融汇温泉城童话里,3室2厅,84.09平米,西南,精装,33层,,塔楼,"14,961元/平",125.8,32人关注,1个月以前发布
精装大2房，诚心出售，出行方便,沙坪坝,大学城,金科廊桥水乡E区,2室1厅,74平米,南,精装,高楼层(共18层),2011年建,塔楼,"11,892元/平",88,4人关注,10个月以前发布
位置安静，视野好，微电园金科天宸七街区精装修三房,沙坪坝,西永,金科•天宸七街区,3室2厅,77.68平米,西,精装,高楼层(共11层),2015年建,板塔结合,"16,865元/平",131,34人关注,1个月以前发布
户型方正，朝中庭，采光好，位置安静。,沙坪坝,大学城,贝蒙天地,2室2厅,73.89平米,北,精装,高楼层(共21层),2013年建,塔楼,"12,587元/平",93,3人关注,6个月以前发布
科学城富力城二期正规大两房业主诚心出售,沙坪坝,大学城,富力城二期第一区,2室2厅,82.82平米,南,毛坯,低楼层(共33层),2012年建,板楼,"10,867元/平",90,25人关注,3个月以前发布
高新区 轻轨站旁精装三房出售，视野开阔 采光好,沙坪坝,大学城,富力城幸福里C区,3室2厅,98.12平米,南 西南,精装,高楼层(共27层),2009年建,塔楼,"10,804元/平",106,9人关注,2个月以前发布
高新区，精装修2房，直接拎包入住，业主*诚心出售,沙坪坝,大学城,金科廊桥水乡D区,2室2厅,74.67平米,东南,精装,18层,2011年建,塔楼,"11,317元/平",84.5,22人关注,6个月以前发布
高新区富力城二改三业主诚心出售,沙坪坝,大学城,富力城倾城里,3室2厅,79.02平米,东,精装,高楼层(共30层),2016年建,板楼,"12,529元/平",99,37人关注,8个月以前发布
正规的2室2厅，客厅有外阳台，户型方正,沙坪坝,沙滨路,金沙港湾,2室2厅,91.6平米,西南,其他,高楼层(共31层),2003年建,塔楼,"11,462元/平",104.99,5人关注,16天以前发布
文旅城品质大盘，玩耍购物等聚一体的综合性项目,沙坪坝,西永,重庆融创万达文化旅游城御林,4室1厅,106.8平米,南,精装,低楼层(共33层),2018年建,塔楼,"13,109元/平",140,13人关注,15天以前发布
配套设施齐全，享梨树湾片区新开商圈,沙坪坝,梨树湾,融汇温泉城锦华里,2室1厅,76.2平米,东南,毛坯,33层,2012年建,塔楼,"15,092元/平",115,0人关注,6天以前发布
西南医院旁精装大跃层，带屋顶花园，单价低空中洋房,沙坪坝,天星桥,都市花园中路,5室3厅,270.93平米,南,精装,16层,2004年建,板塔结合,"6,275元/平",170,33人关注,1个月以前发布
"10个房间，户型方正 浪费空间少, 一楼带花园、地下室",沙坪坝,大学城,金科廊桥水乡D区,5室2厅,320平米,南,精装,低楼层(共6层),2011年建,板楼,"7,750元/平",248,47人关注,7个月以前发布
金科带地下室花园洋房，中间位置，业主诚心出售,沙坪坝,大学城,金科廊桥水乡D区,4室1厅,308.98平米,南,毛坯,低楼层(共5层),2011年建,板楼,"6,312元/平",195,3人关注,3个月以前发布
精装配套 较大中庭广场 中间楼层 无遮挡 交通方便,沙坪坝,大学城,东方剑桥,3室2厅,126.78平米,东北,精装,低楼层(共28层),2010年建,塔楼,"10,097元/平",128,9人关注,5个月以前发布
磁器口景区 精装小三房 居家安静 交通便利,沙坪坝,磁器口,国富沙磁巷,3室2厅,83.09平米,东南,精装,46层,2017年建,塔楼,"15,044元/平",125,35人关注,3个月以前发布
石桥铺双轻轨，近轻轨近万达，住家安静，出行便利,沙坪坝,石桥铺,南方新城北苑,3室2厅,126.24平米,南,精装,高楼层(共11层),2005年建,塔楼,"9,966元/平",125.8,6人关注,6个月以前发布
高新区 科学城 精装四房 朝南中庭 业主急售,沙坪坝,大学城,富力城春天里B区,4室1厅,152.68平米,东南,精装,低楼层(共31层),2009年建,板楼,"9,563元/平",146,16人关注,2个月以前发布
精装三房，带家具家电，看小区中庭，诚心出售,沙坪坝,大学城,金科廊桥天都,3室1厅,93.01平米,东南,精装,34层,2014年建,塔楼,"11,612元/平",108,94人关注,4个月以前发布
2020年末装修，德国进口空调和地暖，钢琴都留下！,沙坪坝,大学城,维多利亚D区,4室2厅,172.93平米,南,精装,1层,2012年建,板塔结合,"19,951元/平",345,28人关注,2个月以前发布
住家装修，朝南的，可以拎包入住，住家安静，诚心.,沙坪坝,沙滨路,财信沙滨城市,3室1厅,117.9平米,南,精装,高楼层(共32层),2014年建,板塔结合,"15,522元/平",183,3人关注,22天以前发布
融汇温泉城  正规三房 全朝南户型  中间楼层,沙坪坝,梨树湾,融汇温泉城圣地亚南区,3室2厅,87.28平米,南,精装,32层,2014年建,塔楼,"14,666元/平",128,5人关注,16天以前发布
保利康桥 3室1厅 北,沙坪坝,沙滨路,保利康桥,3室1厅,107.71平米,北,精装,33层,2009年建,塔楼,"13,184元/平",142,20人关注,19天以前发布
两梯2户洋房户型，采光通风性好，实际使用面积大,沙坪坝,双碑,首创嘉陵岸,4室2厅,112.66平米,东南 南,精装,低楼层(共17层),2019年建,板塔结合,"16,422元/平",185,10人关注,29天以前发布
石桥铺商圈南方香榭里，正规两房,沙坪坝,石桥铺,南方新城香榭里,2室2厅,63.47平米,南,精装,高楼层(共11层),2002年建,塔楼,"13,078元/平",83,6人关注,19天以前发布
新桥旁边次新品质小区 正规三房 统一地暖+新风系统,沙坪坝,凤天路,万科金色悦城,3室2厅,85平米,东,精装,32层,,塔楼,"17,059元/平",145,11人关注,27天以前发布
协信城立方西一期 2室2厅 北,沙坪坝,大学城,协信城立方西一期,2室2厅,72.04平米,北,精装,低楼层(共26层),2014年建,板塔结合,"11,786元/平",84.9,6人关注,20天以前发布
清水洋房+电梯入户+户型方正+环境优美,沙坪坝,大学城,富力城天禧,4室2厅,119.99平米,南,其他,低楼层(共8层),,板塔结合,"12,335元/平",148,13人关注,13天以前发布
近轻轨，近龙湖天街，金科品质三房。,沙坪坝,西永,金科天宸八街区,3室2厅,85.15平米,南,毛坯,中楼层(共15层),2015年建,塔楼,"16,442元/平",140,12人关注,2个月以前发布
康田正规精装大两房，户型方正采光好，业主诚心出售,沙坪坝,大学城,康田漫城,2室1厅,80.87平米,南,精装,中楼层(共25层),2012年建,板塔结合,"11,253元/平",91,4人关注,1个月以前发布
满五唯一，采光充足，交通便利。,沙坪坝,大学城,北麓国际城,2室1厅,47.2平米,东北,简装,低楼层(共32层),2014年建,板楼,"11,017元/平",52,20人关注,4个月以前发布
环境好，房子户型好，采光好，业主诚心出售,沙坪坝,大学城,协信城立方西二期,2室1厅,65.26平米,南,毛坯,中楼层(共25层),2018年建,板楼,"11,953元/平",78,45人关注,6个月以前发布
沙中路 3室1厅 东南,沙坪坝,沙正街,沙中路,3室1厅,77.94平米,东南,毛坯,高楼层(共5层),,板楼,"8,982元/平",70,20人关注,4个月以前发布
北麓国际城 小两房，精装修带家电只卖58万,沙坪坝,大学城,北麓国际城,2室1厅,47.13平米,西南,精装,低楼层(共32层),2014年建,板楼,"11,776元/平",55.5,25人关注,2个月以前发布
重庆大盘  融创品质 朝南户型,沙坪坝,西永,重庆融创万达文化旅游城御林,3室2厅,82.34平米,南,毛坯,中楼层(共33层),2018年建,塔楼,"12,267元/平",101,7人关注,一年前发布
诺丁精装两房 装修保养好 视野佳,沙坪坝,小龙坎,诺丁阳光,2室1厅,85平米,东南,精装,33层,2009年建,板楼,"14,824元/平",126,2人关注,4天以前发布
融创文旅城1期标准两房.视野开阔,沙坪坝,西永,重庆融创万达文化旅游城御林,2室2厅,70.1平米,北,其他,中楼层(共32层),2018年建,塔楼,"12,554元/平",88,1人关注,7天以前发布
西永洋房社区，近轻轨，龙湖天街旁,沙坪坝,西永,金科天宸八街区,3室2厅,81.46平米,南,其他,中楼层(共18层),,板塔结合,"16,941元/平",138,0人关注,8天以前发布
华宇星云汇正规小三房，楼龄新，出行方便，业主诚心卖,沙坪坝,杨公桥,华宇星云汇星领地,3室1厅,75.24平米,东,简装,低楼层(共31层),2016年建,塔楼,"14,222元/平",107,44人关注,6个月以前发布
花园洋房，全新住家装修，金科品质，纯洋房社区,沙坪坝,西永,美的金科郡,3室2厅,106.39平米,南,精装,8层,2015年建,板楼,"17,859元/平",190,30人关注,2个月以前发布
向乐村 3室1厅 东南,沙坪坝,渝碚路,向乐村,3室1厅,93.32平米,东南,其他,高楼层(共10层),2000年建,塔楼,"7,823元/平",73,0人关注,10天以前发布
双轻轨，近三甲医院，低单价低总价，低楼层。,沙坪坝,天星桥,宏漆大厦,3室1厅,129.96平米,东南,简装,中楼层(共10层),,板楼,"6,541元/平",85,2人关注,1个月以前发布
康田精装小户型，生活交通便利，业主诚心出售,沙坪坝,大学城,康田漫城,1室1厅,53.89平米,南,精装,高楼层(共27层),2012年建,塔楼,"10,206元/平",55,18人关注,1个月以前发布
大学城业主住家装修，小区环境好，配套成熟，安静,沙坪坝,大学城,富力城二期第一区,2室1厅,85.14平米,北,精装,低楼层(共33层),2012年建,板楼,"11,746元/平",100,48人关注,3个月以前发布
师院里 出门双商圈 出门双轻轨+高铁加持,沙坪坝,渝碚路,五四村,2室1厅,62平米,东南,简装,中楼层(共7层),,塔楼,"10,259元/平",63.6,4人关注,2个月以前发布
房屋户型方正，采光好，精装修，业主诚心出售,沙坪坝,大学城,北麓国际城,2室1厅,46.68平米,东 东南,精装,中楼层(共32层),2013年建,板楼,"11,097元/平",51.8,5人关注,4个月以前发布
沙滨路石井坡看江大平层大四房，轻轨旁，配套完善,沙坪坝,双碑,融创滨江壹号二期,4室2厅,149.99平米,南,毛坯,中楼层(共32层),,塔楼,"15,535元/平",233,7人关注,1个月以前发布
书香溪墅清水洋房 位置安静 视野好 看房方便,沙坪坝,大学城,书香溪墅,3室2厅,77.24平米,南 北,毛坯,中楼层(共8层),2017年建,塔楼,"12,792元/平",98.8,3人关注,4个月以前发布
房子不好，我不挂。业主不稳，我不卖。,沙坪坝,西永,重庆融创万达文化旅游城御林,2室1厅,83平米,东南,毛坯,高楼层(共32层),2018年建,塔楼,"12,410元/平",103,14人关注,2个月以前发布
金科廊桥天都 精装跃层三房 业主诚心出售,沙坪坝,大学城,金科廊桥天都,3室1厅,65.94平米,东,简装,低楼层(共15层),2012年建,塔楼,"11,526元/平",76,9人关注,3个月以前发布
楼层好 视野开阔 出行便利 采光好,沙坪坝,大学城,富力城天禧,3室1厅,91.98平米,南,精装,低楼层(共33层),2019年建,板塔结合,"13,047元/平",120,12人关注,3个月以前发布
诚心出售，小区环境优美，户型方正,沙坪坝,大学城,金科廊桥水乡四组团,3室2厅,87.71平米,南,毛坯,低楼层(共27层),,塔楼,"10,376元/平",91,15人关注,3个月以前发布
标准三房，经典户型，业主诚心出售,沙坪坝,大学城,金科廊桥水乡E区,3室2厅,101.43平米,东南,毛坯,中楼层(共30层),2011年建,塔楼,"11,043元/平",112,10人关注,一年前发布
金科廊桥水乡E区，精装正规两房,沙坪坝,大学城,金科廊桥水乡E区,2室2厅,82.98平米,东南,精装,高楼层(共30层),2011年建,塔楼,"11,075元/平",91.9,6人关注,3个月以前发布
融创品质 精品装修房 不易错过！,沙坪坝,西永,重庆融创万达文化旅游城御林,3室1厅,80.3平米,西北,精装,中楼层(共33层),2018年建,塔楼,"15,194元/平",122,6人关注,26天以前发布
书香溪墅 3室2厅 南,沙坪坝,大学城,书香溪墅,3室2厅,83.15平米,南,简装,低楼层(共11层),,塔楼,"16,236元/平",135,20人关注,一年前发布
精装廊桥天都精装两房，位置安静采光好，业主安心卖,沙坪坝,大学城,金科廊桥天都,2室1厅,70.21平米,北,精装,14层,2012年建,板塔结合,"11,509元/平",80.8,66人关注,9个月以前发布
住家精装修，业主诚心出售。看房方便，次新房,沙坪坝,大学城,协信城立方西二期,3室1厅,81.11平米,南,精装,低楼层(共26层),,塔楼,"13,316元/平",108,10人关注,2个月以前发布
金科精装三房，配套齐全，业主诚心售卖,沙坪坝,西永,金科·天宸二街区,3室2厅,86.63平米,南,精装,高楼层(共26层),2015年建,板塔结合,"14,661元/平",127,90人关注,一年前发布
好房黄桷园 户型方正 精装修 南北朝向 拎包入住,沙坪坝,小龙坎,黄桷园(沙坪坝),4室2厅,171.26平米,东南,其他,中楼层(共22层),2003年建,板楼,"10,511元/平",180,12人关注,一年前发布
业主住家装修正规三房，轻轨站就在小区门口,沙坪坝,杨公桥,龙凤云洲,3室1厅,83.29平米,南 北,精装,高楼层(共31层),2010年建,塔楼,"14,768元/平",123,0人关注,5天以前发布
